Value,Disaggregation combinations using this value,Number of indicators
data.18 to 24 years,336,1
data.25 to 34 years,336,1
data.35 to 44 years,336,1
data.45 to 54 years,336,1
data.55 years and over,336,1
data.Company,70,1
data.Females,70,1
data.Males,70,1
data.Sex unknown,70,1
data.Total - age of accused,420,1
data.Total - sex of accused,70,1
