Value,Disaggregation combinations using this value,Number of indicators
Alberta,1,1
Atlantic,1,1
British Columbia,1,1
Canada,1,1
Manitoba,1,1
Ontario,1,1
Quebec,1,1
Saskatchewan,1,1
