Indicator,Disaggregation combinations using this value
#3-11-1,300
#3-3-1,27
#3-4-1,48
#3-5-1,18
#3-7-1,18
#3-8-1,18
#5-3-1,120
#8-1-1,66
#8-4-1,27
#8-5-1,1
#8-6-1,7
#9-2-1,1
#9-4-1,3
#9-7-1,4
