Value,Disaggregation combinations using this value,Number of indicators
data.15 to 24 years,33,1
data.15 years and over,33,1
data.25 to 44 years,33,1
data.25 to 54 years,33,1
data.25 years and over,33,1
data.45 years and over,33,1
data.55 to 64 years,33,1
data.55 years and over,33,1
data.65 years and over,33,1
