Value,Disaggregation combinations using this value,Number of indicators
Coke oven gas,10,1
Coke,18,1
Gas plant natural gas liquids (NGL's),89,1
Hydroelectricity,90,1
Natural gas,71,1
Nuclear,20,1
Steam,31,1
Total coal,31,1
Total primary and secondary energy,98,1
Total refined petroleum products,98,1
