Value,Disaggregation combinations using this value,Number of indicators
data.Administration of justice,350,1
data.Crimes against property,350,1
data.Crimes against the person,350,1
data.Criminal Code traffic,350,1
data.Total Criminal Code,350,1
data.Total offences,350,1
