Value,Disaggregation combinations using this value,Number of indicators
Alberta,313,10
British Columbia and the Territories,1,1
British Columbia,313,11
Canada,331,15
Manitoba,307,12
New Brunswick,312,11
Newfoundland and Labrador,299,10
Northwest Territories,197,6
Nova Scotia,291,9
NovaScotia,18,1
Nunavut,183,6
Ontario,323,12
Prince Edward Island,299,11
Quebec,311,11
Saskatchewan,310,12
"Yukon, Northwest Territories and Nunavut",3,1
Yukon,193,6
