Indicator,Disaggregation combinations using this value
#10-3-1,132
#11-4-1,1
#11-5-1,2
#15-3-1,1
#16-5-1,245
#16-6-1,1
#3-3-1,27
#3-5-1,18
#3-7-1,18
#3-8-1,18
#3-9-1,11
#5-1-1,128
#8-1-1,66
#8-4-1,27
#8-5-1,1
#8-6-1,7
#9-2-1,1
#9-4-1,3
#9-7-1,2
