Year,Geography,Sex,data.Age group,Value
2019,Alberta,Females,15 years and over,0.21
2020,Alberta,Females,15 years and over,0.26
2015,Alberta,Females,15 to 24 years,0.17
2016,Alberta,Females,15 to 24 years,0.18
2017,Alberta,Females,15 to 24 years,0.22
2018,Alberta,Females,15 to 24 years,0.22
2019,Alberta,Females,15 to 24 years,0.19
2020,Alberta,Females,15 to 24 years,0.24
2015,Alberta,Females,25 years and over,0.19
2016,Alberta,Females,25 years and over,0.25
2017,Alberta,Females,25 years and over,0.25
2018,Alberta,Females,25 years and over,0.23
2019,Alberta,Females,25 years and over,0.21
2020,Alberta,Females,25 years and over,0.27
2015,Alberta,Females,25 to 44 years,0.21
2016,Alberta,Females,25 to 44 years,0.27
2017,Alberta,Females,25 to 44 years,0.26
2018,Alberta,Females,25 to 44 years,0.25
2019,Alberta,Females,25 to 44 years,0.23
2020,Alberta,Females,25 to 44 years,0.28
2015,Alberta,Females,45 years and over,
2016,Alberta,Females,45 years and over,0.23
2017,Alberta,Females,45 years and over,0.24
2018,Alberta,Females,45 years and over,0.21
2019,Alberta,Females,45 years and over,0.2
2020,Alberta,Females,45 years and over,0.25
2015,Alberta,Females,25 to 54 years,0.21
2016,Alberta,Females,25 to 54 years,0.28
2017,Alberta,Females,25 to 54 years,0.27
2018,Alberta,Females,25 to 54 years,0.26
2019,Alberta,Females,25 to 54 years,0.24
2020,Alberta,Females,25 to 54 years,0.28
2015,Alberta,Females,55 years and over,
2016,Alberta,Females,55 years and over,
2017,Alberta,Females,55 years and over,
2018,Alberta,Females,55 years and over,
2019,Alberta,Females,55 years and over,
2020,Alberta,Females,55 years and over,
2015,Alberta,Females,55 to 64 years,
2016,Alberta,Females,55 to 64 years,
2017,Alberta,Females,55 to 64 years,
2018,Alberta,Females,55 to 64 years,
2019,Alberta,Females,55 to 64 years,
2020,Alberta,Females,55 to 64 years,
2015,Alberta,Females,65 years and over,
2016,Alberta,Females,65 years and over,
2017,Alberta,Females,65 years and over,
2018,Alberta,Females,65 years and over,
2019,Alberta,Females,65 years and over,
2020,Alberta,Females,65 years and over,
2015,British Columbia,Both sexes,15 years and over,0.24
2016,British Columbia,Both sexes,15 years and over,0.22
2017,British Columbia,Both sexes,15 years and over,0.21
2018,British Columbia,Both sexes,15 years and over,0.18
2019,British Columbia,Both sexes,15 years and over,0.16
2020,British Columbia,Both sexes,15 years and over,0.21
2015,British Columbia,Both sexes,15 to 24 years,0.21
2016,British Columbia,Both sexes,15 to 24 years,0.17
2017,British Columbia,Both sexes,15 to 24 years,0.17
2018,British Columbia,Both sexes,15 to 24 years,0.12
2019,British Columbia,Both sexes,15 to 24 years,0.13
2020,British Columbia,Both sexes,15 to 24 years,0.17
2015,British Columbia,Both sexes,25 years and over,0.26
2016,British Columbia,Both sexes,25 years and over,0.24
2017,British Columbia,Both sexes,25 years and over,0.22
2018,British Columbia,Both sexes,25 years and over,0.2
2019,British Columbia,Both sexes,25 years and over,0.18
2020,British Columbia,Both sexes,25 years and over,0.23
2015,British Columbia,Both sexes,25 to 44 years,0.29
2016,British Columbia,Both sexes,25 to 44 years,0.26
2017,British Columbia,Both sexes,25 to 44 years,0.27
2018,British Columbia,Both sexes,25 to 44 years,0.24
2019,British Columbia,Both sexes,25 to 44 years,0.2
2020,British Columbia,Both sexes,25 to 44 years,0.25
2015,British Columbia,Both sexes,45 years and over,0.24
2016,British Columbia,Both sexes,45 years and over,0.22
2017,British Columbia,Both sexes,45 years and over,0.19
2018,British Columbia,Both sexes,45 years and over,0.17
2019,British Columbia,Both sexes,45 years and over,0.16
2020,British Columbia,Both sexes,45 years and over,0.21
2015,British Columbia,Both sexes,25 to 54 years,0.31
2016,British Columbia,Both sexes,25 to 54 years,0.28
2017,British Columbia,Both sexes,25 to 54 years,0.27
2018,British Columbia,Both sexes,25 to 54 years,0.24
2019,British Columbia,Both sexes,25 to 54 years,0.21
2020,British Columbia,Both sexes,25 to 54 years,0.27
2015,British Columbia,Both sexes,55 years and over,0.16
2016,British Columbia,Both sexes,55 years and over,0.17
2017,British Columbia,Both sexes,55 years and over,0.15
2018,British Columbia,Both sexes,55 years and over,0.13
2019,British Columbia,Both sexes,55 years and over,0.12
2020,British Columbia,Both sexes,55 years and over,0.17
2015,British Columbia,Both sexes,55 to 64 years,
2016,British Columbia,Both sexes,55 to 64 years,0.22
2017,British Columbia,Both sexes,55 to 64 years,0.19
2018,British Columbia,Both sexes,55 to 64 years,0.17
2019,British Columbia,Both sexes,55 to 64 years,
2020,British Columbia,Both sexes,55 to 64 years,
2015,British Columbia,Both sexes,65 years and over,
2016,British Columbia,Both sexes,65 years and over,
2017,British Columbia,Both sexes,65 years and over,
2018,British Columbia,Both sexes,65 years and over,
2019,British Columbia,Both sexes,65 years and over,
2020,British Columbia,Both sexes,65 years and over,
2015,British Columbia,Males,15 years and over,0.28
2016,British Columbia,Males,15 years and over,0.25
2017,British Columbia,Males,15 years and over,0.24
2018,British Columbia,Males,15 years and over,0.21
2019,British Columbia,Males,15 years and over,0.19
2020,British Columbia,Males,15 years and over,0.27
2015,British Columbia,Males,15 to 24 years,0.2
2016,British Columbia,Males,15 to 24 years,
2017,British Columbia,Males,15 to 24 years,
2018,British Columbia,Males,15 to 24 years,
2019,British Columbia,Males,15 to 24 years,
2020,British Columbia,Males,15 to 24 years,
2015,British Columbia,Males,25 years and over,0.34
2016,British Columbia,Males,25 years and over,0.3
2017,British Columbia,Males,25 years and over,0.29
2018,British Columbia,Males,25 years and over,0.27
2019,British Columbia,Males,25 years and over,0.23
2020,British Columbia,Males,25 years and over,0.32
2015,British Columbia,Males,25 to 44 years,
2016,British Columbia,Males,25 to 44 years,
2017,British Columbia,Males,25 to 44 years,0.39
2018,British Columbia,Males,25 to 44 years,
2019,British Columbia,Males,25 to 44 years,
2020,British Columbia,Males,25 to 44 years,
2015,British Columbia,Males,45 years and over,
2016,British Columbia,Males,45 years and over,0.26
2017,British Columbia,Males,45 years and over,0.23
2018,British Columbia,Males,45 years and over,0.21
2019,British Columbia,Males,45 years and over,0.2
2020,British Columbia,Males,45 years and over,
2015,British Columbia,Males,25 to 54 years,0.47
2016,British Columbia,Males,25 to 54 years,0.39
2017,British Columbia,Males,25 to 54 years,0.39
2018,British Columbia,Males,25 to 54 years,0.37
2019,British Columbia,Males,25 to 54 years,0.31
2020,British Columbia,Males,25 to 54 years,0.43
2015,British Columbia,Males,55 years and over,
2016,British Columbia,Males,55 years and over,
2017,British Columbia,Males,55 years and over,
2018,British Columbia,Males,55 years and over,
2019,British Columbia,Males,55 years and over,
2020,British Columbia,Males,55 years and over,
2015,British Columbia,Males,55 to 64 years,
2016,British Columbia,Males,55 to 64 years,
2017,British Columbia,Males,55 to 64 years,
2018,British Columbia,Males,55 to 64 years,
2019,British Columbia,Males,55 to 64 years,
2020,British Columbia,Males,55 to 64 years,
2015,British Columbia,Males,65 years and over,
2016,British Columbia,Males,65 years and over,
2017,British Columbia,Males,65 years and over,
2018,British Columbia,Males,65 years and over,
2019,British Columbia,Males,65 years and over,
2020,British Columbia,Males,65 years and over,
2015,British Columbia,Females,15 years and over,0.22
2016,British Columbia,Females,15 years and over,0.2
2017,British Columbia,Females,15 years and over,0.19
2018,British Columbia,Females,15 years and over,0.16
2019,British Columbia,Females,15 years and over,0.15
2020,British Columbia,Females,15 years and over,0.18
2015,British Columbia,Females,15 to 24 years,0.21
2016,British Columbia,Females,15 to 24 years,0.17
2017,British Columbia,Females,15 to 24 years,0.17
2018,British Columbia,Females,15 to 24 years,0.12
2019,British Columbia,Females,15 to 24 years,0.13
2020,British Columbia,Females,15 to 24 years,0.18
2015,British Columbia,Females,25 years and over,0.23
2016,British Columbia,Females,25 years and over,0.21
2017,British Columbia,Females,25 years and over,0.2
2018,British Columbia,Females,25 years and over,0.17
2019,British Columbia,Females,25 years and over,0.15
2020,British Columbia,Females,25 years and over,0.18
2015,British Columbia,Females,25 to 44 years,0.23
2016,British Columbia,Females,25 to 44 years,0.22
2017,British Columbia,Females,25 to 44 years,0.23
2018,British Columbia,Females,25 to 44 years,0.2
2019,British Columbia,Females,25 to 44 years,0.17
2020,British Columbia,Females,25 to 44 years,0.2
2015,British Columbia,Females,45 years and over,0.22
2016,British Columbia,Females,45 years and over,0.2
2017,British Columbia,Females,45 years and over,0.17
2018,British Columbia,Females,45 years and over,0.15
2019,British Columbia,Females,45 years and over,0.14
2020,British Columbia,Females,45 years and over,0.17
2015,British Columbia,Females,25 to 54 years,0.26
2016,British Columbia,Females,25 to 54 years,0.24
2017,British Columbia,Females,25 to 54 years,0.23
2018,British Columbia,Females,25 to 54 years,0.2
2019,British Columbia,Females,25 to 54 years,0.18
2020,British Columbia,Females,25 to 54 years,0.21
2015,British Columbia,Females,55 years and over,
2016,British Columbia,Females,55 years and over,
2017,British Columbia,Females,55 years and over,
2018,British Columbia,Females,55 years and over,
2019,British Columbia,Females,55 years and over,
2020,British Columbia,Females,55 years and over,
2015,British Columbia,Females,55 to 64 years,
2016,British Columbia,Females,55 to 64 years,
2017,British Columbia,Females,55 to 64 years,
2018,British Columbia,Females,55 to 64 years,
2019,British Columbia,Females,55 to 64 years,
2020,British Columbia,Females,55 to 64 years,
2015,British Columbia,Females,65 years and over,
2016,British Columbia,Females,65 years and over,
2017,British Columbia,Females,65 years and over,
2018,British Columbia,Females,65 years and over,
2019,British Columbia,Females,65 years and over,
2020,British Columbia,Females,65 years and over,
